City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapa'a,22.0752,-159.319,19.71,95,0,4.12,US,1738867846
1,ushuaia,-54.8,-68.3,8.81,71,75,12.86,AR,1738867847
2,xinqing,48.2333,129.5,-17.18,98,100,1.53,CN,1738867849
3,edinburgh of the seven seas,-37.0676,-12.3116,17.03,91,47,9.92,SH,1738867850
4,port-aux-francais,-49.35,70.2167,6.46,84,100,8.78,TF,1738867851
5,puerto natales,-51.7236,-72.4875,9.43,66,61,6.53,CL,1738867852
6,the pas,53.8251,-101.2541,-11.99,72,75,8.75,CA,1738867827
7,mbaiki,3.8678,17.9892,26.72,23,8,0.49,CF,1738867854
8,severo-yeniseyskiy,60.3725,93.0408,-25.17,100,100,1.1,RU,1738867855
9,bella vista,36.4295,-94.2316,10.38,97,100,5.66,US,1738867635
10,qaqortoq,60.7167,-46.0333,-15.02,68,100,4.41,GL,1738867857
11,sisimiut,66.9395,-53.6735,-20.55,88,100,1.87,GL,1738867858
12,adamstown,-25.066,-130.1015,24.94,78,100,5.57,PN,1738867637
13,waitangi,-43.9535,-176.5597,14.34,76,100,1.34,NZ,1738867860
14,zabaykal'sk,49.6333,117.3167,-22.42,91,100,4.23,RU,1738867861
15,nordborg,55.0573,9.7408,2.94,81,0,4.63,DK,1738867862
16,bredasdorp,-34.5322,20.0403,19.41,75,16,4.16,ZA,1738867863
17,muisne,0.6,-80.0333,27.29,77,68,3.26,EC,1738867865
18,didwana,27.4,74.5667,14.42,23,0,3.41,IN,1738867866
19,freetown,8.484,-13.2299,25.56,73,27,3.87,SL,1738867867
20,vorgashor,67.5833,63.95,-10.21,92,100,8.27,RU,1738867869
21,sungai penuh,-2.0833,101.3833,17.75,96,30,1.92,ID,1738867870
22,hadibu,12.65,54.0333,22.89,73,47,4.3,YE,1738867871
23,hasaki,35.7333,140.8333,5.23,38,100,8.09,JP,1738867872
24,kruisfontein,-34.0033,24.7314,17.64,91,100,5.52,ZA,1738867873
25,salalah,17.0151,54.0924,23.05,64,75,1.03,OM,1738867874
26,blackmans bay,-43.0167,147.3167,13.74,89,99,1.12,AU,1738867875
27,konstantinovka,49.6167,127.9833,-11.52,91,100,6.84,RU,1738867876
28,arys,42.4252,68.795,2.94,65,0,2.88,KZ,1738867877
29,ras al khaimah city,25.7895,55.9432,23.12,56,0,9.26,AE,1738867878
30,punta arenas,-53.15,-70.9167,11.06,54,40,13.38,CL,1738867879
31,totness,5.8833,-56.3167,24.3,92,100,4.84,SR,1738867881
32,general acha,-37.377,-64.6043,35.94,23,0,4.34,AR,1738867882
33,hermanus,-34.4187,19.2345,19.89,77,1,7.22,ZA,1738867883
34,kununurra,-15.7667,128.7333,25.99,94,100,0.0,AU,1738867886
35,west island,-12.1568,96.8225,27.99,89,20,8.75,CC,1738867887
36,sabang,5.8933,95.3214,27.88,74,37,5.57,ID,1738867888
37,geraldton,-28.7667,114.6,21.23,88,40,2.57,AU,1738867889
38,dunedin,-45.8742,170.5036,12.11,82,20,1.79,NZ,1738867890
39,anna regina,7.2644,-58.5077,27.4,72,48,4.41,GY,1738867891
40,nar'yan-mar,67.6713,53.087,-5.33,90,100,8.6,RU,1738867892
41,souillac,-20.5167,57.5167,29.21,84,40,1.54,MU,1738867893
42,port mathurin,-19.6833,63.4167,27.84,79,12,5.04,MU,1738867894
43,yelizovo,53.1873,158.3805,-2.92,50,75,6.0,RU,1738867895
44,jamestown,42.097,-79.2353,2.23,98,100,7.2,US,1738867615
45,badger,64.8,-147.5333,-8.07,86,100,0.0,US,1738867897
46,woolgoolga,-30.1106,153.2007,19.41,76,13,1.2,AU,1738867898
47,ciudad lazaro cardenas,17.9583,-102.2,28.72,56,0,4.33,MX,1738867899
48,yudong,29.385,106.5194,9.22,88,100,1.33,CN,1738867900
49,la palma,33.8464,-118.0467,16.51,92,100,3.6,US,1738867902
50,tura,25.5198,90.2201,14.55,49,0,1.28,IN,1738867903
51,papatowai,-46.5619,169.4708,10.53,85,27,3.75,NZ,1738867905
52,bethel,41.3712,-73.414,1.45,88,100,0.89,US,1738867691
53,grytviken,-54.2811,-36.5092,3.68,85,31,0.29,GS,1738867636
54,iskateley,67.6803,53.1512,-5.33,90,100,8.54,RU,1738867908
55,wailua homesteads,22.0669,-159.378,18.96,95,0,4.12,US,1738867909
56,margaret river,-33.95,115.0667,17.19,78,99,5.32,AU,1738867910
57,yellowknife,62.456,-114.3525,-18.71,65,75,7.2,CA,1738867634
58,kodiak,57.79,-152.4072,2.73,52,0,6.69,US,1738867913
59,nova sintra,14.8667,-24.7167,22.79,71,0,8.43,CV,1738867914
60,luderitz,-26.6481,15.1594,18.59,69,10,8.31,NA,1738867915
61,jining,35.405,116.5814,-8.27,17,0,8.48,CN,1738867916
62,fale old settlement,-9.3852,-171.2468,28.06,78,68,7.62,TK,1738867917
63,isafjordur,66.0755,-23.124,0.02,69,100,13.38,IS,1738867919
64,ayorou,14.7308,0.9174,29.06,9,100,3.98,NE,1738867920
65,gordonvale,-17.0936,145.7842,24.88,95,100,1.46,AU,1738867921
66,avarua,-21.2078,-159.775,25.03,100,100,1.03,CK,1738867711
67,atlanta,33.749,-84.388,22.09,71,100,7.2,US,1738867084
68,bikin,46.8161,134.26,-16.02,98,100,0.7,RU,1738867925
69,queenstown,-31.8976,26.8753,16.03,95,100,2.98,ZA,1738867926
70,tonj,7.2737,28.6822,29.72,20,100,2.17,SS,1738867927
71,novyy turtkul',41.55,61.0167,2.65,44,100,6.73,UZ,1738867928
72,taoudenni,22.6783,-3.9836,18.23,17,0,4.76,ML,1738867929
73,talofofo village,13.3551,144.7583,25.88,90,75,5.66,GU,1738867930
74,pimenta bueno,-11.6725,-61.1936,27.65,83,100,1.82,BR,1738867931
75,saipan,15.1355,145.701,25.39,94,75,6.17,MP,1738867932
76,aasiaat,68.7098,-52.8699,-29.38,100,100,2.43,GL,1738867921
77,shindand,33.3029,62.1474,9.93,31,98,5.14,AF,1738867934
78,tromso,69.6496,18.957,6.01,81,75,14.92,NO,1738867935
79,cockburn town,21.4612,-71.1419,26.98,83,40,8.23,TC,1738867936
80,saint-georges,12.0564,-61.7485,29.82,62,20,7.72,GD,1738867938
81,sitka,57.0531,-135.33,0.94,69,20,1.54,US,1738867939
82,nagqu,31.5,92.0,-5.81,7,0,8.29,CN,1738867940
83,at taj,24.2049,23.2857,13.22,48,11,5.22,LY,1738867941
84,iqaluit,63.7506,-68.5145,-30.15,67,20,1.03,CA,1738867942
85,codrington,-38.2667,141.9667,17.32,96,100,4.24,AU,1738867943
86,nemuro,43.3236,145.575,-3.47,70,15,6.49,JP,1738867944
87,labrador city,52.9463,-66.9114,-13.05,66,75,6.69,CA,1738867945
88,caleta de carquin,-11.0925,-77.6267,25.31,71,42,3.58,PE,1738867946
89,hawaiian paradise park,19.5933,-154.9731,19.37,98,100,2.06,US,1738867947
90,vadso,70.0744,29.7487,3.09,75,0,15.95,NO,1738867948
91,lebu,-37.6167,-73.65,18.21,67,0,8.69,CL,1738867949
92,keflavik,64.0049,-22.5624,0.24,86,40,12.35,IS,1738867950
93,ben gardane,33.1378,11.2197,14.47,75,93,3.22,TN,1738867951
94,ilulissat,69.2167,-51.1,-22.99,59,20,3.09,GL,1738867954
95,suklayin,15.7574,121.5503,22.39,97,100,1.21,PH,1738867955
96,st. john's,47.5649,-52.7093,-4.56,71,100,6.69,CA,1738867956
97,saint-joseph,-21.3667,55.6167,27.21,83,46,3.04,RE,1738867957
98,esmeralda,21.8525,-78.1169,27.05,57,97,6.07,CU,1738867958
99,pontal do parana,-25.6533,-48.5128,32.47,54,100,0.2,BR,1738867959
100,puerto ayora,-0.7393,-90.3518,26.97,91,12,3.13,EC,1738867960
101,talnakh,69.4865,88.3972,-20.39,98,100,4.07,RU,1738867961
102,invercargill,-46.4,168.35,8.9,93,30,0.45,NZ,1738867664
103,baijiantan,45.6333,85.1833,-19.33,99,64,1.29,CN,1738867963
104,port saint john's,-31.6229,29.5448,22.11,90,100,5.01,ZA,1738867964
105,kill devil hills,36.0307,-75.676,9.99,86,75,5.66,US,1738867965
106,ancud,-41.8697,-73.8203,15.73,53,3,3.98,CL,1738867967
107,polyarnyy,69.1989,33.4478,1.06,80,100,14.87,RU,1738867968
108,hilo,19.7297,-155.09,20.28,84,100,2.06,US,1738867969
109,port alfred,-33.5906,26.891,21.21,81,100,1.34,ZA,1738867970
110,howard springs,-12.497,131.047,28.95,84,100,3.76,AU,1738867971
111,al mindak,20.1588,41.2834,12.57,67,96,0.93,SA,1738867972
112,vilyuysk,63.7553,121.6247,-37.71,98,8,2.24,RU,1738867973
113,vila franca do campo,37.7167,-25.4333,18.27,99,31,3.44,PT,1738867974
114,cidreira,-30.1811,-50.2056,29.25,62,0,8.88,BR,1738867975
115,porto novo,6.4965,2.6036,29.9,79,81,4.33,BJ,1738867976
116,bonito,-21.1211,-56.4819,28.41,65,71,4.0,BR,1738867963
117,charters towers,-20.1,146.2667,22.93,96,100,4.09,AU,1738867978
118,samarinda,-0.5,117.15,23.2,98,97,0.09,ID,1738867979
119,erzincan,39.75,39.5,-5.39,74,40,1.03,TR,1738867980
120,al burayqah,30.4062,19.5739,15.71,54,0,4.01,LY,1738867981
121,tindouf,27.6711,-8.1474,15.71,28,0,3.4,DZ,1738867982
122,rio gallegos,-51.6226,-69.2181,15.03,33,0,14.4,AR,1738867984
123,hammerfest,70.6634,23.6821,5.25,87,75,12.86,NO,1738867985
124,albany,42.6001,-73.9662,-1.2,90,100,1.34,US,1738867948
125,puerto deseado,-47.7503,-65.8938,15.35,48,100,11.96,AR,1738867700
126,sovetsk,55.0839,21.8785,3.64,86,100,4.82,RU,1738867989
127,ribeira grande,38.5167,-28.7,18.22,94,75,5.36,PT,1738867990
128,karratha,-20.7377,116.8463,31.09,71,100,9.55,AU,1738867991
129,enewetak,11.3474,162.3373,26.49,75,81,8.04,MH,1738867992
130,porangatu,-13.4408,-49.1486,31.15,52,100,2.0,BR,1738867993
131,kirkwall,58.9848,-2.9587,5.54,81,0,3.09,GB,1738867994
132,crane,31.3974,-102.3501,25.3,13,0,2.61,US,1738867995
